name,latitude,longitude,rating
Joe's Pizza,40.71427,-74.00597,4.5
The National September 11 Memorial Museum,40.71427,-74.00597,4.8
Washington Square Park,40.71427,-74.00597,4.7
Eiffel Tower Champagne Lunch and Paris Day Tour from London,51.50853,-0.12574,3.0
Jet Boating the Thames from Tower Pier,51.50853,-0.12574,5.0
Paris: 1-Day Tour from London with Coach Tour & Cruise,51.50853,-0.12574,1.0
Supperclub with Thailand's MasterChef winner,13.75398,100.50144,3.0
Tour Eiffel,48.85341,2.3488,4.6
Le Mur Végétal,48.85341,2.3488,4.7
Galerie-Musée Baccarat,48.85341,2.3488,3.7
Chinese Pork Bun and Homemade BBQ Pork,22.27832,114.17469,5.0
Chinese Cooking -Chicken and rice,22.27832,114.17469,1.0
Traditional Chinese Pun Chio cooking class in Hong Kong,22.27832,114.17469,2.0
Fine dining fusion menu: from the Caribbean to the Mediterranean,41.38879,2.15899,4.0
Plaça de Sant Jaume,41.38879,2.15899,4.4
Born for Brunch - Brunch overlooking the rooftops of El Born,41.38879,2.15899,5.0
Dine on a Roman terrace with family recipes,41.89193,12.51133,2.0
"""COOKING WITH LOVE"" Cooking Class",41.89193,12.51133,2.0
Typical Italian dinner with a Roman family,41.89193,12.51133,3.0
Online Japanese Food Trivia Night,35.6895,139.69171,2.0
Sensational Sake Tasting Experience In Tokyo,35.6895,139.69171,3.0
Wagyu And Sake Pairing In Shinjuku,35.6895,139.69171,2.0
"Authentic, Pre-hispanic Mexican Dinner in Chicago",41.85003,-87.65005,2.0
Veggie-Friendly Florence: Pasta Workshop And Dinner,43.77925,11.24626,2.0
Food Imitates Art In This Beautiful Tuscan Cooking Class,43.77925,11.24626,3.0
PIZZA AND GELATO COOKING CLASS AT A FARMHOUSE,43.77925,11.24626,1.0
Portuguese Dinner Experience,38.71667,-9.13333,4.0
A voyage to the wines of Portugal,38.71667,-9.13333,5.0
Prowl The Streets Of Lisbon For Delicious Petiscos,38.71667,-9.13333,2.0
Hike to Table Mountain in Cape Town,-33.92584,18.42322,4.0
Kayaking Tour along Atlantic Seaboard Coastline,-33.92584,18.42322,4.0
Sunset Gin RIB boat tour from V&A Waterfront in Cape Town,-33.92584,18.42322,2.0
Cook and Eat in a Home on the Asian Side of Istanbul ,41.01384,28.94966,1.0
Multi-Course Turkish-Inspired Gourmet Dinner ,41.01384,28.94966,1.0
Taste of Istanbul Foodie Tour,41.01384,28.94966,1.0
Hot Air Balloon flight over the Altas mountains from Marrakech,31.63416,-7.99994,5.0
"2-Day Mount Toubkal Guided Trekking, Morocco",31.63416,-7.99994,3.0
"Paragliding over the Kik plateau from Marrakech, Morocco",31.63416,-7.99994,1.0
NoDate_PNHQZC,-33.86785,151.20732,5.0
Inventory_P0ZEK9,-33.86785,151.20732,4.0
"Для поиска нажмите ""Ввод"". При Этом в в настройках стоит ""Всегда использовать живой поиск"". Так-же не могу зайти в аккаунт google не с одно",-33.86785,151.20732,5.0
Private Food Tour and Aperitif in Venice,45.43713,12.33265,2.0
"Evening Traditional Rowing Lesson in the Grand Canal, Venice",45.43713,12.33265,1.0
Venice,45.43713,12.33265,2.0
Private Event: Spiritual Shabbat Dinner In Jerusalem,31.76904,35.21633,4.0
Experience Shabbat With Dinner In Jerusalem,31.76904,35.21633,3.0
Hike & swim excursion on Koločep Island starting from Gruž Harbour in Dubrovnik,42.64125,18.10909,2.0
Jet ski rental on Sunj beach near Dubrovnik,42.64125,18.10909,5.0
Limestone rock climbing near Dubrovnik with transfer,42.64125,18.10909,1.0
North Indian Zucchini Kofta Curry & Vegetable Pulav,26.91962,75.78781,5.0
The Secrets of Indian Cuisine Cooking Class and Dinner,26.91962,75.78781,4.0
Jaipur Food Walk Tour l Eat Like a Local,26.91962,75.78781,3.0
Moscow Foodie Walk,55.75222,37.61556,4.0
Small-Group Cooking Class and Market Tour in Hanoi with free Pickup & Drop off,21.0245,105.84117,3.0
Small Group Hanoi Street Food Tour with Real Foodie,21.0245,105.84117,3.0
Vegan Food Walk & Hidden Gems in Hanoi Old Quarter,21.0245,105.84117,1.0
"Quad and Buggy excursion from Cala d´en Bossa, Ibiza",38.90883,1.43296,4.0
"Stand Up Paddle excursion around Portinatx, north Ibiza",38.90883,1.43296,5.0
Typical uruguayan dinner with local wine (chivito & tannat),-34.46262,-57.83976,4.0
Brandenburger Tor,52.52437,13.41053,4.7
Siegessäule,52.52437,13.41053,4.6
Maison des cultures du monde,52.52437,13.41053,4.4
One Day in Provence - Day Tours,43.29695,5.38107,4.9
Altissimo Marseille,43.29695,5.38107,4.5
Provence-Tours Marseille,43.29695,5.38107,2.3
Welcome to the UMAMIE Pintxos Workshop! ,43.26271,-2.92528,4.0
All Included Drinks and Pintxos Throughout Bilbao,43.26271,-2.92528,1.0
Museum of Fine Arts of Bilbao,43.26271,-2.92528,4.5
Balkan-themed Cooking Class in Prague,50.08804,14.42076,5.0
Try A Czech Cooking Class In Prague And Stay For Dinner After,50.08804,14.42076,4.0
Prowl The Streets Of Prague For A Tour Of The Local Cuisine,50.08804,14.42076,4.0
